#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/joesuk/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/joesuk/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/joesuk/dwm.git,"is the window manager."
G,https://github.com/joesuk/mutt-wizard.git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,htop,"for cpu monitoring"
,jq,"for perl"
,libx11,"is libx11"
,polkit,"for getting poweroff/reboot to work"
,noto-fonts,"for noto sans mono font"
,dkms,"for wifi adapter to update on kernel upgrades"
,gdu,"is a fast disk usage analyzer"
,perl-file-mimeinfo,"for mimeopen for lf opener"
,noto-fonts-cjk,"for east asian fonts"
,texlive-most, "is texlive"
,firefox,"is firefox"
,rofi,"for dmenu finder"
,mlocate,"for dmenu finder"
,thunar,"is a file explorer"
,thumbler,"is for image previews in thunar"
,acl,"more flexible permission mechanism for file systems."
,acpid,"daemon for delivering ACPI events."
,adwaita-cursors,"for adwaita cursors"
,adwaita-icon-theme,"for adwaita icons"
,alsa-card-profiles," kernel driven sound card drivers"
,alsa-lib," kernel driven sound card drivers"
,alsa-topology-conf," kernel driven sound card drivers"
,alsa-ucm-conf," kernel driven sound card drivers"
,alsa-utils," kernel driven sound card drivers"
,anaconda,"for programming"
,anki-qt5,"for anki"
,aom,"for open media video codec"
,arandr,"xrandr gui"
,archlinux-keyring,"for keyring"
,argon2,"cryptographic hashing algorithm"
,aria2,"ultra-fast download utility (for yt-dlp)"
,at-spi2-core,"basic daemons for accessbility stack"
,atkmm," added 8/5/23"
,atool," added 8/5/23"
,attr," added 8/5/23"
,audit," added 8/5/23"
,autoconf," added 8/5/23"
,autoconf-archive," added 8/5/23"
,automake," added 8/5/23"
,avahi," added 8/5/23"
,b43-firmware," added 8/5/23"
,b43-fwcutter," added 8/5/23"
,base," added 8/5/23"
,bash," added 8/5/23"
,bat," added 8/5/23"
,bc," added 8/5/23"
,bcwc-pcie-git," added 8/5/23"
,bind," added 8/5/23"
,binutils," added 8/5/23"
,bison," added 8/5/23"
,blas," added 8/5/23"
,bluez-libs," added 8/5/23"
,boost," added 8/5/23"
,boost-libs," added 8/5/23"
,box2d," added 8/5/23"
,brave-bin," added 8/5/23"
,broadcom-wl-dkms," added 8/5/23"
,brotli," added 8/5/23"
,btrfs-progs," added 8/5/23"
,bzip2," added 8/5/23"
,c-ares," added 8/5/23"
,ca-certificates," added 8/5/23"
,ca-certificates-mozilla," added 8/5/23"
,ca-certificates-utils," added 8/5/23"
,cairo," added 8/5/23"
,cairomm," added 8/5/23"
,cantarell-fonts," added 8/5/23"
,cblas," added 8/5/23"
,cdparanoia," added 8/5/23"
,checkra1n-gui," added 8/5/23"
,clang," added 8/5/23"
,clucene," added 8/5/23"
,cmake," added 8/5/23"
,compiler-rt," added 8/5/23"
,coreutils," added 8/5/23"
,cpio," added 8/5/23"
,cppdap," added 8/5/23"
,cronie," added 8/5/23"
,cryptsetup," added 8/5/23"
,curl," added 8/5/23"
,dav1d," added 8/5/23"
,db," added 8/5/23"
,db5.3," added 8/5/23"
,dbus," added 8/5/23"
,dbus-glib," added 8/5/23"
,dbus-python," added 8/5/23"
,dconf," added 8/5/23"
,default-cursors," added 8/5/23"
,desktop-file-utils," added 8/5/23"
,device-mapper," added 8/5/23"
,dhcpcd," added 8/5/23"
,dialog," added 8/5/23"
,diffutils," added 8/5/23"
,djvulibre," added 8/5/23"
,dkms," added 8/5/23"
,dmraid," added 8/5/23"
,dnssec-anchors," added 8/5/23"
,dosfstools," added 8/5/23"
,double-conversion," added 8/5/23"
,duktape," added 8/5/23"
,dunst," added 8/5/23"
,dvisvgm," added 8/5/23"
,e2fsprogs," added 8/5/23"
,efibootmgr," added 8/5/23"
,efivar," added 8/5/23"
,enchant," added 8/5/23"
,exfat-utils," added 8/5/23"
,exiv2," added 8/5/23"
,exo," added 8/5/23"
,expat," added 8/5/23"
,extundelete," added 8/5/23"
,facetimehd-firmware," added 8/5/23"
,fakeroot," added 8/5/23"
,fcitx5,"for east asian fonts"
,fcitx5-configtool,"for east asian fonts"
,fcitx5-gtk,"for east asian fonts"
,fcitx5-hangul,"for east asian fonts"
,fcitx5-qt,"for east asian fonts"
,ffcall," added 8/5/23"
,fftw," added 8/5/23"
,file," added 8/5/23"
,filesystem," added 8/5/23"
,findutils," added 8/5/23"
,flac," added 8/5/23"
,flex," added 8/5/23"
,fmt," added 8/5/23"
,fontconfig," added 8/5/23"
,freetype2," added 8/5/23"
,fribidi," added 8/5/23"
,fuse-common," added 8/5/23"
,fuse2," added 8/5/23"
,fuse3," added 8/5/23"
,fzf," added 8/5/23"
,gawk," added 8/5/23"
,gc," added 8/5/23"
,gcc," added 8/5/23"
,gcc-fortran," added 8/5/23"
,gcc-libs," added 8/5/23"
,gcr," added 8/5/23"
,gcr-4," added 8/5/23"
,gd," added 8/5/23"
,gdbm," added 8/5/23"
,gdk-pixbuf2," added 8/5/23"
,gdu," added 8/5/23"
,geoclue," added 8/5/23"
,geocode-glib," added 8/5/23"
,geocode-glib-common," added 8/5/23"
,gettext," added 8/5/23"
,ghc-libs," added 8/5/23"
,ghostscript," added 8/5/23"
,giflib," added 8/5/23"
,girara," added 8/5/23"
,git," added 8/5/23"
,glew," added 8/5/23"
,glib-networking," added 8/5/23"
,glib2," added 8/5/23"
,glibc," added 8/5/23"
,glibmm," added 8/5/23"
,glslang," added 8/5/23"
,glu," added 8/5/23"
,gmime3," added 8/5/23"
,gmp," added 8/5/23"
,gnome-keyring," added 8/5/23"
,gnu-free-fonts," added 8/5/23"
,gnupg," added 8/5/23"
,gnutls," added 8/5/23"
,go," added 8/5/23"
,gobject-introspection-runtime," added 8/5/23"
,gperf," added 8/5/23"
,gperftools," added 8/5/23"
,gpgme," added 8/5/23"
,gpm," added 8/5/23"
,gptfdisk," added 8/5/23"
,graphene," added 8/5/23"
,graphicsmagick," added 8/5/23"
,graphite," added 8/5/23"
,graphviz," added 8/5/23"
,grep," added 8/5/23"
,groff," added 8/5/23"
,grub," added 8/5/23"
,gsasl," added 8/5/23"
,gsettings-desktop-schemas," added 8/5/23"
,gsfonts," added 8/5/23"
,gsl," added 8/5/23"
,gsm," added 8/5/23"
,gspell," added 8/5/23"
,gst-plugins-base," added 8/5/23"
,gst-plugins-base-libs," added 8/5/23"
,gstreamer," added 8/5/23"
,gtest," added 8/5/23"
,gtk-theme-arc-gruvbox-git," added 8/5/23"
,gtk-update-icon-cache," added 8/5/23"
,gtk2," added 8/5/23"
,gtk3," added 8/5/23"
,gtkmm3," added 8/5/23"
,gtksourceview4," added 8/5/23"
,gts," added 8/5/23"
,guile," added 8/5/23"
,gumbo-parser," added 8/5/23"
,gvfs," added 8/5/23"
,gvfs-afc," added 8/5/23"
,gvfs-gphoto2," added 8/5/23"
,gzip," added 8/5/23"
,harfbuzz," added 8/5/23"
,harfbuzz-icu," added 8/5/23"
,haskell-aeson," added 8/5/23"
,haskell-aeson-pretty," added 8/5/23"
,haskell-ansi-terminal," added 8/5/23"
,haskell-ansi-wl-pprint," added 8/5/23"
,haskell-appar," added 8/5/23"
,haskell-asn1-encoding," added 8/5/23"
,haskell-asn1-parse," added 8/5/23"
,haskell-asn1-types," added 8/5/23"
,haskell-assoc," added 8/5/23"
,haskell-async," added 8/5/23"
,haskell-attoparsec," added 8/5/23"
,haskell-attoparsec-iso8601," added 8/5/23"
,haskell-auto-update," added 8/5/23"
,haskell-base-compat," added 8/5/23"
,haskell-base-compat-batteries," added 8/5/23"
,haskell-base-orphans," added 8/5/23"
,haskell-base-unicode-symbols," added 8/5/23"
,haskell-base16-bytestring," added 8/5/23"
,haskell-base64," added 8/5/23"
,haskell-base64-bytestring," added 8/5/23"
,haskell-basement," added 8/5/23"
,haskell-bifunctors," added 8/5/23"
,haskell-bitvec," added 8/5/23"
,haskell-blaze-builder," added 8/5/23"
,haskell-blaze-html," added 8/5/23"
,haskell-blaze-markup," added 8/5/23"
,haskell-boring," added 8/5/23"
,haskell-bsb-http-chunked," added 8/5/23"
,haskell-byteable," added 8/5/23"
,haskell-byteorder," added 8/5/23"
,haskell-call-stack," added 8/5/23"
,haskell-case-insensitive," added 8/5/23"
,haskell-cereal," added 8/5/23"
,haskell-citeproc," added 8/5/23"
,haskell-cmdargs," added 8/5/23"
,haskell-colour," added 8/5/23"
,haskell-commonmark," added 8/5/23"
,haskell-commonmark-extensions," added 8/5/23"
,haskell-commonmark-pandoc," added 8/5/23"
,haskell-comonad," added 8/5/23"
,haskell-conduit," added 8/5/23"
,haskell-conduit-extra," added 8/5/23"
,haskell-connection," added 8/5/23"
,haskell-constraints," added 8/5/23"
,haskell-contravariant," added 8/5/23"
,haskell-cookie," added 8/5/23"
,haskell-crypton," added 8/5/23"
,haskell-crypton-connection," added 8/5/23"
,haskell-crypton-x509," added 8/5/23"
,haskell-crypton-x509-store," added 8/5/23"
,haskell-crypton-x509-system," added 8/5/23"
,haskell-crypton-x509-validation," added 8/5/23"
,haskell-cryptonite," added 8/5/23"
,haskell-data-array-byte," added 8/5/23"
,haskell-data-default," added 8/5/23"
,haskell-data-default-class," added 8/5/23"
,haskell-data-default-instances-containers," added 8/5/23"
,haskell-data-default-instances-dlist," added 8/5/23"
,haskell-data-default-instances-old-locale," added 8/5/23"
,haskell-data-fix," added 8/5/23"
,haskell-dec," added 8/5/23"
,haskell-digest," added 8/5/23"
,haskell-distributive," added 8/5/23"
,haskell-dlist," added 8/5/23"
,haskell-doclayout," added 8/5/23"
,haskell-doctemplates," added 8/5/23"
,haskell-easy-file," added 8/5/23"
,haskell-emojis," added 8/5/23"
,haskell-erf," added 8/5/23"
,haskell-fast-logger," added 8/5/23"
,haskell-file-embed," added 8/5/23"
,haskell-generically," added 8/5/23"
,haskell-ghc-bignum-orphans," added 8/5/23"
,haskell-glob," added 8/5/23"
,haskell-gridtables," added 8/5/23"
,haskell-haddock-library," added 8/5/23"
,haskell-hashable," added 8/5/23"
,haskell-hourglass," added 8/5/23"
,haskell-hslua," added 8/5/23"
,haskell-hslua-aeson," added 8/5/23"
,haskell-hslua-classes," added 8/5/23"
,haskell-hslua-core," added 8/5/23"
,haskell-hslua-list," added 8/5/23"
,haskell-hslua-marshalling," added 8/5/23"
,haskell-hslua-module-doclayout," added 8/5/23"
,haskell-hslua-module-path," added 8/5/23"
,haskell-hslua-module-system," added 8/5/23"
,haskell-hslua-module-text," added 8/5/23"
,haskell-hslua-module-version," added 8/5/23"
,haskell-hslua-module-zip," added 8/5/23"
,haskell-hslua-objectorientation," added 8/5/23"
,haskell-hslua-packaging," added 8/5/23"
,haskell-hslua-repl," added 8/5/23"
,haskell-hslua-typing," added 8/5/23"
,haskell-hsyaml," added 8/5/23"
,haskell-http-api-data," added 8/5/23"
,haskell-http-client," added 8/5/23"
,haskell-http-client-tls," added 8/5/23"
,haskell-http-date," added 8/5/23"
,haskell-http-media," added 8/5/23"
,haskell-http-types," added 8/5/23"
,haskell-http2," added 8/5/23"
,haskell-hunit," added 8/5/23"
,haskell-indexed-traversable," added 8/5/23"
,haskell-indexed-traversable-instances," added 8/5/23"
,haskell-integer-logarithms," added 8/5/23"
,haskell-iproute," added 8/5/23"
,haskell-ipynb," added 8/5/23"
,haskell-isocline," added 8/5/23"
,haskell-jira-wiki-markup," added 8/5/23"
,haskell-juicypixels," added 8/5/23"
,haskell-lexer," added 8/5/23"
,haskell-libyaml," added 8/5/23"
,haskell-lpeg," added 8/5/23"
,haskell-lua," added 8/5/23"
,haskell-memory," added 8/5/23"
,haskell-mime-types," added 8/5/23"
,haskell-mmorph," added 8/5/23"
,haskell-monad-control," added 8/5/23"
,haskell-mono-traversable," added 8/5/23"
,haskell-network," added 8/5/23"
,haskell-network-byte-order," added 8/5/23"
,haskell-network-uri," added 8/5/23"
,haskell-old-locale," added 8/5/23"
,haskell-old-time," added 8/5/23"
,haskell-onetuple," added 8/5/23"
,haskell-optparse-applicative," added 8/5/23"
,haskell-pandoc," added 8/5/23"
,haskell-pandoc-lua-engine," added 8/5/23"
,haskell-pandoc-lua-marshal," added 8/5/23"
,haskell-pandoc-server," added 8/5/23"
,haskell-pandoc-types," added 8/5/23"
,haskell-pem," added 8/5/23"
,haskell-pretty-show," added 8/5/23"
,haskell-primitive," added 8/5/23"
,haskell-psqueues," added 8/5/23"
,haskell-quickcheck," added 8/5/23"
,haskell-random," added 8/5/23"
,haskell-recv," added 8/5/23"
,haskell-resourcet," added 8/5/23"
,haskell-safe," added 8/5/23"
,haskell-safe-exceptions," added 8/5/23"
,haskell-scientific," added 8/5/23"
,haskell-semialign," added 8/5/23"
,haskell-semigroupoids," added 8/5/23"
,haskell-servant," added 8/5/23"
,haskell-servant-server," added 8/5/23"
,haskell-sha," added 8/5/23"
,haskell-simple-sendfile," added 8/5/23"
,haskell-singleton-bool," added 8/5/23"
,haskell-skylighting," added 8/5/23"
,haskell-skylighting-core," added 8/5/23"
,haskell-skylighting-format-ansi," added 8/5/23"
,haskell-skylighting-format-blaze-html," added 8/5/23"
,haskell-skylighting-format-context," added 8/5/23"
,haskell-skylighting-format-latex," added 8/5/23"
,haskell-socks," added 8/5/23"
,haskell-some," added 8/5/23"
,haskell-sop-core," added 8/5/23"
,haskell-split," added 8/5/23"
,haskell-splitmix," added 8/5/23"
,haskell-statevar," added 8/5/23"
,haskell-streaming-commons," added 8/5/23"
,haskell-strict," added 8/5/23"
,haskell-string-conversions," added 8/5/23"
,haskell-syb," added 8/5/23"
,haskell-tagged," added 8/5/23"
,haskell-tagsoup," added 8/5/23"
,haskell-temporary," added 8/5/23"
,haskell-texmath," added 8/5/23"
,haskell-text-conversions," added 8/5/23"
,haskell-text-icu," added 8/5/23"
,haskell-text-short," added 8/5/23"
,haskell-th-abstraction," added 8/5/23"
,haskell-th-compat," added 8/5/23"
,haskell-th-lift," added 8/5/23"
,haskell-th-lift-instances," added 8/5/23"
,haskell-these," added 8/5/23"
,haskell-time-compat," added 8/5/23"
,haskell-time-manager," added 8/5/23"
,haskell-tls," added 8/5/23"
,haskell-transformers-base," added 8/5/23"
,haskell-transformers-compat," added 8/5/23"
,haskell-type-equality," added 8/5/23"
,haskell-typed-process," added 8/5/23"
,haskell-unicode-collation," added 8/5/23"
,haskell-unicode-data," added 8/5/23"
,haskell-unicode-transforms," added 8/5/23"
,haskell-uniplate," added 8/5/23"
,haskell-unix-compat," added 8/5/23"
,haskell-unix-time," added 8/5/23"
,haskell-unliftio," added 8/5/23"
,haskell-unliftio-core," added 8/5/23"
,haskell-unordered-containers," added 8/5/23"
,haskell-utf8-string," added 8/5/23"
,haskell-uuid-types," added 8/5/23"
,haskell-vault," added 8/5/23"
,haskell-vector," added 8/5/23"
,haskell-vector-algorithms," added 8/5/23"
,haskell-vector-stream," added 8/5/23"
,haskell-wai," added 8/5/23"
,haskell-wai-app-static," added 8/5/23"
,haskell-wai-cors," added 8/5/23"
,haskell-wai-extra," added 8/5/23"
,haskell-wai-logger," added 8/5/23"
,haskell-warp," added 8/5/23"
,haskell-witherable," added 8/5/23"
,haskell-word8," added 8/5/23"
,haskell-x509," added 8/5/23"
,haskell-x509-store," added 8/5/23"
,haskell-x509-system," added 8/5/23"
,haskell-x509-validation," added 8/5/23"
,haskell-xml," added 8/5/23"
,haskell-xml-conduit," added 8/5/23"
,haskell-xml-types," added 8/5/23"
,haskell-yaml," added 8/5/23"
,haskell-zip-archive," added 8/5/23"
,haskell-zlib," added 8/5/23"
,hdparm," added 8/5/23"
,hicolor-icon-theme," added 8/5/23"
,hidapi," added 8/5/23"
,highway," added 8/5/23"
,hslua-cli," added 8/5/23"
,htop," added 8/5/23"
,http-parser," added 8/5/23"
,hugo," added 8/5/23"
,hunspell," added 8/5/23"
,hunspell-en_us," added 8/5/23"
,hwdata," added 8/5/23"
,hwloc," added 8/5/23"
,hyphen," added 8/5/23"
,iana-etc," added 8/5/23"
,ibus," added 8/5/23"
,icu," added 8/5/23"
,ifuse," added 8/5/23"
,ijs," added 8/5/23"
,imagemagick," added 8/5/23"
,imath," added 8/5/23"
,imlib2," added 8/5/23"
,iniparser," added 8/5/23"
,inkscape," added 8/5/23"
,intel-ucode," added 8/5/23"
,iproute2," added 8/5/23"
,iptables," added 8/5/23"
,iputils," added 8/5/23"
,ipython," added 8/5/23"
,iso-codes," added 8/5/23"
,isync," added 8/5/23"
,iw," added 8/5/23"
,jack2," added 8/5/23"
,jansson," added 8/5/23"
,java-environment-common," added 8/5/23"
,java-runtime-common," added 8/5/23"
,jbig2dec," added 8/5/23"
,jdk8-openjdk," added 8/5/23"
,jemalloc," added 8/5/23"
,jq," added 8/5/23"
,jre8-openjdk," added 8/5/23"
,jre8-openjdk-headless," added 8/5/23"
,js78," added 8/5/23"
,json-c," added 8/5/23"
,json-glib," added 8/5/23"
,jsoncpp," added 8/5/23"
,julia-bin," added 8/5/23"
,jupyter-nbclassic," added 8/5/23"
,jupyter-nbclient," added 8/5/23"
,jupyter-nbconvert," added 8/5/23"
,jupyter-nbformat," added 8/5/23"
,jupyter-notebook," added 8/5/23"
,jupyter-notebook-shim," added 8/5/23"
,jupyter-server," added 8/5/23"
,jupyter-server-fileid," added 8/5/23"
,jupyter-server-ydoc," added 8/5/23"
,jupyterlab," added 8/5/23"
,jupyterlab-pygments," added 8/5/23"
,kbd," added 8/5/23"
,keyutils," added 8/5/23"
,kitemviews," added 8/5/23"
,kmod," added 8/5/23"
,krb5," added 8/5/23"
,kwidgetsaddons," added 8/5/23"
,kyotocabinet," added 8/5/23"
,l-smash," added 8/5/23"
,lame," added 8/5/23"
,lapack," added 8/5/23"
,lcms2," added 8/5/23"
,ldns," added 8/5/23"
,less," added 8/5/23"
,lf-git," added 8/5/23"
,lib2geom," added 8/5/23"
,libabw," added 8/5/23"
,libaio," added 8/5/23"
,libarchive," added 8/5/23"
,libass," added 8/5/23"
,libassuan," added 8/5/23"
,libasyncns," added 8/5/23"
,libatasmart," added 8/5/23"
,libatomic_ops," added 8/5/23"
,libavc1394," added 8/5/23"
,libavif," added 8/5/23"
,libb2," added 8/5/23"
,libb64," added 8/5/23"
,libblockdev," added 8/5/23"
,libbluray," added 8/5/23"
,libbpf," added 8/5/23"
,libbs2b," added 8/5/23"
,libbytesize," added 8/5/23"
,libcamera," added 8/5/23"
,libcamera-ipa," added 8/5/23"
,libcap," added 8/5/23"
,libcap-ng," added 8/5/23"
,libcddb," added 8/5/23"
,libcdio," added 8/5/23"
,libcdio-paranoia," added 8/5/23"
,libcdr," added 8/5/23"
,libcloudproviders," added 8/5/23"
,libcolord," added 8/5/23"
,libcups," added 8/5/23"
,libdaemon," added 8/5/23"
